time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,-0.20351,-0.73143,9.86651
0.016,-0.00239,-1.36469,10.04487
0.048,0.50877,-0.97803,10.02931
0.084,0.64045,-0.71826,9.60673
0.119,0.98881,-0.48722,9.48224
0.154,0.78769,0.01915,9.19733
0.189,0.83318,0.25019,9.67617
0.224,0.52074,0.38666,9.78989
0.259,0.64883,-0.05866,10.18613
0.294,0.72425,-0.35195,10.39562
0.329,0.74819,-0.58897,10.44351
0.364,0.76614,-0.50278,10.32859
0.399,0.72425,-0.56862,10.05684
0.433,0.96127,-0.69791,10.24958
0.468,0.69073,-0.68594,9.84975
0.504,0.96726,-0.76734,9.80186
0.540,1.28090,-0.79248,10.04248
0.574,1.00796,-0.66918,9.75158
0.609,1.02711,-0.51356,9.85453
0.645,0.95768,-0.66679,9.99100
0.679,0.98402,-0.65362,9.84975
0.717,0.99240,-0.83318,9.73363
0.749,0.92775,-0.70390,10.00178
0.785,0.92656,-0.72065,9.87848
0.820,0.66559,-0.56982,9.70250
0.856,0.94930,-0.70629,9.90242
0.890,0.93972,-0.90022,9.65342
0.926,1.07978,-0.83677,9.54808
0.961,1.25696,-0.70749,9.32542
0.995,1.36829,-0.73861,9.23204
1.030,1.72383,-0.78530,9.10515
1.066,2.01113,-0.74101,8.77595
1.099,2.36427,-0.37709,8.19416
1.134,2.64559,-0.71108,8.28035
1.169,2.79044,-0.80685,8.21929
1.204,2.57736,-1.03549,8.36893
1.241,2.95684,-1.41497,8.26359
1.276,2.77727,-1.45328,8.95192
1.309,3.40336,-2.37864,9.42837
1.344,3.78164,-2.82516,9.75637
1.380,3.98754,-2.65278,10.05206
1.416,4.43885,-2.66475,9.75996
1.455,4.48195,-2.89459,9.57082
1.489,4.75488,-2.52828,9.47146
1.524,3.74812,-2.28407,9.04410
1.560,4.17190,-2.66953,8.69694
1.595,3.67510,-2.87424,9.65821
1.629,4.50589,-2.69467,9.57441
1.665,5.40730,-2.41814,11.25754
1.699,5.26246,-1.56222,12.27148
1.741,3.91691,-1.11690,11.34253
1.769,4.17429,-1.16119,13.45541
1.807,4.22337,-0.38188,16.17642
1.839,2.24816,-0.30287,14.98890
1.874,2.61567,-0.08260,16.02679
1.910,2.46603,-0.74340,15.06432
1.944,2.83473,-0.12210,14.98411
1.979,3.32076,0.58538,14.01207
2.015,3.43329,0.89783,13.73194
2.048,2.51870,2.00754,12.05840
2.084,2.41096,2.73059,11.33415
2.120,1.35991,3.53264,10.33337
2.154,1.06063,3.59250,8.53772
2.189,0.71108,3.47997,7.24007
2.225,0.70868,3.59849,6.41287
2.260,0.57700,3.47878,4.65313
2.306,-0.59735,2.93050,3.12084
2.329,-1.21147,3.13640,1.41737
2.364,-2.24456,2.81798,-0.89064
2.399,-3.23935,2.95684,-2.95923
2.435,-4.20781,3.23457,-5.08050
2.470,-5.16310,3.09570,-6.07529
2.505,-6.02501,3.85586,-8.72567
2.540,-6.47512,4.44364,-10.10233
2.575,-7.25683,4.92248,-12.61744
2.609,-8.53772,5.43364,-14.96017
2.644,-10.08917,6.79355,-17.59619
2.681,-12.20923,7.86735,-20.87744
2.714,-13.06875,9.73602,-26.88210
2.749,-9.08719,4.56095,-16.39430
2.795,-2.33914,-7.93917,7.09163
2.819,7.55610,-17.82124,6.76721
2.858,14.89672,-32.29539,21.75491
2.889,7.64588,6.29795,9.59716
2.925,0.78650,26.30988,4.20422
2.960,-4.65313,4.38498,8.22049
2.994,-0.07542,12.96221,7.51899
3.029,0.12689,8.92439,4.66510
3.064,-1.43652,9.20211,3.76249
3.100,-1.04746,8.37013,2.10091
3.134,0.33160,7.72010,5.71257
3.169,-1.20428,8.18578,2.44687
3.204,-1.98360,8.71729,2.24217
3.239,-0.61890,9.58160,3.00113
3.280,-1.39223,9.70131,2.65158
3.309,-2.26970,9.15543,2.37265
3.345,-1.68791,9.26795,2.63003
3.385,-1.68911,8.92199,3.03345
3.419,-2.12246,9.26795,2.39061
3.454,-0.96606,9.39844,2.94487
3.489,-0.95409,9.10156,4.06655
3.524,-2.07697,9.34337,2.53307
3.560,-1.47962,9.48822,2.56778
3.594,-0.99838,9.16022,3.34111
3.636,-1.10732,9.33499,3.00592
3.664,-1.22463,9.38048,3.04782
3.703,-1.53109,9.54568,3.02867
3.734,-1.02472,9.19972,3.23576
3.772,-0.51116,9.34696,3.34350
3.805,-0.83677,9.19014,3.10648
3.844,-1.49997,9.34457,2.20626
3.875,-1.27850,8.78193,2.02909
3.909,-0.91818,7.25683,2.08894
3.950,-1.12767,5.73411,1.54665
3.992,-1.24020,3.03345,-0.37589
4.019,-1.46645,1.71904,-1.18034
4.059,-0.89783,2.07338,0.00479
4.088,-0.55785,1.06303,0.61052
4.127,-1.13725,3.01430,1.57419
4.159,-1.79685,3.68587,1.04866
4.197,-2.34751,5.53899,2.54264
4.229,-3.57933,5.63236,4.88417
4.266,-3.86783,8.63828,6.01184
4.301,-5.76883,8.41801,8.96629
4.334,-5.83587,5.73172,13.07593
4.369,-3.31597,4.21499,15.56231
4.405,-1.45089,0.94092,18.32163
4.440,-1.13126,-1.46645,18.33599
4.482,0.47525,-1.43772,18.16481
4.509,-1.84832,-2.40617,16.43859
4.552,-1.31083,-1.80283,14.62738
4.580,-0.21189,-2.38822,13.48534
4.617,0.54708,-1.31202,12.64019
4.649,0.30646,-1.19830,10.84214
4.686,-0.58179,-0.88825,10.61709
4.720,-0.05626,-0.88346,9.98622
4.758,-0.22745,-0.75058,9.30387
4.789,0.10056,-0.75657,9.59237
4.824,0.30526,-0.69671,9.61272
4.871,0.46448,-0.36990,9.33858
4.894,0.40223,-0.70509,9.90002
4.929,0.35793,-0.51236,10.37408
4.973,0.14006,-0.84874,10.24479
5.006,-0.11253,-0.69432,10.00896
5.039,0.33279,-0.98881,10.48900
5.069,-0.09218,-0.72664,10.36330
5.107,0.19752,-0.84635,10.00776
5.139,0.11133,-0.98881,9.84975
5.180,0.08140,-1.04148,10.15740
5.209,0.25977,-0.85473,9.87967
5.245,0.34357,-0.89304,9.90840
5.280,-0.05267,-0.90022,9.54927
5.315,0.20710,-0.97923,9.95749
5.349,0.29449,-0.87269,9.87369
5.395,0.03711,-0.98043,9.86291
5.419,0.01437,-1.10373,10.17895
5.461,0.32082,-1.15281,10.07001
5.489,-0.04070,-1.20428,10.01614
5.526,0.34357,-1.03070,9.89524
5.560,0.29568,-1.02232,9.90481
5.596,0.29209,-1.02113,9.94671
5.634,0.15802,-1.16717,9.68694
5.670,0.52912,-1.17914,9.86890
5.704,0.46208,-1.23062,10.16698
5.742,0.23463,-1.02472,9.78630
5.780,0.53391,-1.10014,9.97185
5.815,0.59256,-1.07021,9.90122
5.849,0.59017,-1.14323,9.84975
5.889,0.59855,-1.13006,9.69412
5.921,0.55665,-1.18633,9.62828
5.955,0.58059,-1.09535,9.97424
5.989,0.62489,-1.20548,9.98262
6.031,0.79009,-1.20189,9.88805
6.059,0.55785,-1.26534,10.21127
6.095,0.65601,-1.20069,10.01854
6.129,0.85832,-1.12168,10.14423
6.188,0.63686,-1.14802,10.01854
6.200,0.75058,-1.30005,9.79707
6.240,0.51595,-1.21625,8.49822
6.268,1.01634,-1.25815,9.75996
6.304,1.27491,-1.02831,10.30584
6.339,1.40181,-1.47603,9.54329
